timestamp,gdp,freight_yoy,diesel_vs_baseline,bc_ab_spread
2026-07-17T05:17:49.972843,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:17:56.497747,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:18:11.992073,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:18:12.107721,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:21:11.022240,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:21:11.133247,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:24:33.264895,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:26:20.765015,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:26:20.832669,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:28:24.057119,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:34:44.536419,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:34:44.681074,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T05:58:32.788504,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T06:28:53.634849,171.9¢/L,19.6¢/L,1.3896
2026-07-17T06:59:50.289877,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T07:29:58.535165,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T08:00:07.770607,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T08:30:16.753285,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T09:00:26.716961,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T09:30:35.450843,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T10:00:44.614499,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T10:30:52.706867,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:01:02.260219,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:19:11.995136,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:19:12.100357,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:19:56.915744,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:19:57.037096,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:22:05.042962,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:22:05.101493,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:24:23.758150,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:24:23.868696,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:27:58.255063,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:27:58.367287,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T11:31:11.325221,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T12:01:20.803100,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T12:31:29.385463,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T13:01:38.574820,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T13:31:46.568789,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T13:47:48.628863,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T13:47:48.721438,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:01:56.264072,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:14:40.047017,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:14:40.115204,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:17:29.847253,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:17:29.922685,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:20:43.639494,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:20:43.705465,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:22:33.381527,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:22:33.485129,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:26:20.480457,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:26:20.576575,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:28:25.300851,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:29:38.525055,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:29:38.623019,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:30:01.169003,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:30:01.227493,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:30:32.590571,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:30:32.650577,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T14:32:05.772548,+0.5%,+1.1%,171.9¢/L,19.6¢/L
