date,series,key,value
2026-08-05,diesel,AB,200.3000
2026-08-06,diesel,AB,200.9000
2026-08-07,diesel,AB,200.9000
2026-08-05,diesel,BC,233.2000
2026-08-06,diesel,BC,230.3000
2026-08-07,diesel,BC,230.3000
2026-08-05,diesel,MB,206.8000
2026-08-06,diesel,MB,210.3000
2026-08-07,diesel,MB,210.3000
2026-08-05,diesel,NB,241.9000
2026-08-06,diesel,NB,234.8000
2026-08-07,diesel,NB,234.8000
2026-08-05,diesel,NL,242.9000
2026-08-06,diesel,NL,228.1000
2026-08-07,diesel,NL,228.1000
2026-08-05,diesel,NS,239.1000
2026-08-06,diesel,NS,232.2000
2026-08-07,diesel,NS,232.2000
2026-08-05,diesel,NT,203.8000
2026-08-06,diesel,NT,203.8000
2026-08-07,diesel,NT,203.8000
2026-08-05,diesel,ON,218.6000
2026-08-06,diesel,ON,212.9000
2026-08-07,diesel,ON,212.9000
2026-08-05,diesel,PE,244.1000
2026-08-06,diesel,PE,237.4000
2026-08-07,diesel,PE,237.4000
2026-08-05,diesel,QC,253.6000
2026-08-06,diesel,QC,252.4000
2026-08-07,diesel,QC,252.4000
2026-08-05,diesel,SK,202.2000
2026-08-06,diesel,SK,201.5000
2026-08-07,diesel,SK,201.5000
2026-08-05,diesel,YT,210.9000
2026-08-06,diesel,YT,218.4000
2026-08-07,diesel,YT,218.4000
2026-08-05,diesel,national,228.3000
2026-08-06,diesel,national,224.1000
2026-08-07,diesel,national,224.1000
